,小区名称,具体地址,建成时间,挂牌均价
124,金巢铂瑞阁,(徐汇斜土路)合宝路18号,2015年 ,000000
125,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227
126,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059
127,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433
128,宜德苑,(徐汇徐家汇)古宜路99弄,2005年 ,102636
129,环线广场,(徐汇田林)宜山路515号,2001-2003年 ,000000
130,凯托大厦,(徐汇田林)中山西路1878弄1-2号,2005年 ,86822
131,徐汇御景苑,(徐汇龙华)龙吴路288弄,2004年 ,101125
132,澳龙公寓,(徐汇万体馆)龙漕路51弄3号,2003年 ,83019
133,南林公寓,(徐汇田林)中山西路小闸镇街123号,2005年 ,90184
134,中星虹漕公寓,(徐汇康健)桂林西街85弄35-36号,2000年 ,77425
135,河滨国际公寓,(徐汇康健)钦州路209-211号,2007年 ,92827
136,明安馨苑,(徐汇万体馆)龙华西路525弄,2005年 ,108196
137,嘉嘉大楼,(徐汇建国西路)永嘉路158号,2004年 ,167464
138,徐汇长春苑,(徐汇田林)钦州北路158弄,2008年 ,83940
139,汇鑫国际大厦,(徐汇徐家汇)宜山路333号,2007-2010年 ,000000
140,漕河景苑,(徐汇康健)康健路58弄,2007年 ,114229
141,明申中心大厦,(徐汇徐家汇)凯旋路3131号,2000年 ,000000
142,之俊大厦,(徐汇斜土路)斜土路1221号,2005-2008年 ,000000
143,兆丰环球大厦,(徐汇田林)中山西路1800号,2015年 ,000000
144,均瑶国际广场,(徐汇徐家汇)肇嘉浜路789号,2002-2003年 ,000000
145,明园世纪城,(徐汇建国西路)复兴中路1199号,2000-2003年 ,108011
146,金色港湾,(徐汇斜土路)大木桥路158弄,2000-2002年 ,113228
147,紫藤苑,(徐汇康健)桂平路88弄,2001年 ,92189
148,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624
149,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356
150,飞雕国际大厦,(徐汇徐家汇)肇嘉浜路1065号,2006年 ,000000
151,阳光名苑,(徐汇徐家汇)斜土路2099弄（一期）,2004-2008年 ,134139
152,岳阳公寓,(徐汇建国西路)岳阳路217号,2003年 ,000000
153,凯旋豪庭,(徐汇徐家汇)凯旋路3188弄,2005年 ,95033
154,绿邑翠苑,(徐汇植物园)龙吴路555弄,2005年 ,87172
155,日晖新城,(徐汇斜土路)零陵北路9弄1-5号,2003年 ,100151
156,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734
157,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772
158,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837
159,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119
160,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974
161,衡园,(徐汇斜土路)肇嘉浜路201弄,2001-2003年 ,122555
162,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227
163,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059
164,美晶佳园,(徐汇万体馆)天钥桥路869号,2003年 ,100836
165,漕东三路25号,(徐汇万体馆)漕东三路25号,暂无信息 ,000000
166,长乐路661号,(徐汇衡山路)长乐路661号,暂无信息 ,000000
167,华亭路28号,(徐汇衡山路)华亭路28号,暂无信息 ,000000
168,永嘉路358号,(徐汇建国西路)永嘉路358号,暂无信息 ,000000
169,吴兴路45号,(徐汇衡山路)吴兴路45号,暂无信息 ,000000
170,安亭路31号,(徐汇衡山路)安亭路31号,暂无信息 ,000000
171,襄阳南路271弄,(徐汇建国西路)襄阳南路271弄,暂无信息 ,000000
172,五原路131号,(徐汇衡山路)五原路131号,暂无信息 ,000000
173,高邮路38号,(徐汇衡山路)高邮路38号,暂无信息 ,000000
174,复兴西路145号,(徐汇衡山路)复兴西路145号,暂无信息 ,000000
175,宝庆路18弄,(徐汇衡山路)宝庆路18弄,暂无信息 ,000000
176,复兴西路147号,(徐汇衡山路)复兴西路147号,暂无信息 ,000000
177,余庆路9号,(徐汇徐家汇)余庆路9号,暂无信息 ,000000
178,高邮路59号,(徐汇衡山路)高邮路59号,暂无信息 ,000000
179,高安路73弄,(徐汇衡山路)高安路73弄,暂无信息 ,000000
180,东安路15号,(徐汇徐家汇)东安路15号,暂无信息 ,000000
181,联峰汇大厦,(徐汇徐家汇)广元西路315号,2012年 ,000000
182,高安路104号,(徐汇衡山路)高安路104号,暂无信息 ,000000
183,泰安路9号,(徐汇衡山路)泰安路9号,暂无信息 ,000000
184,衡山路13号,(徐汇衡山路)衡山路13号,暂无信息 ,000000
185,襄阳北路60号,(徐汇衡山路)襄阳北路60号,暂无信息 ,000000
186,永嘉路350弄,(徐汇建国西路)永嘉路350弄,暂无信息 ,000000
187,小木桥路153号,(徐汇斜土路)小木桥路153号,暂无信息 ,000000
188,永康路209号,(徐汇建国西路)永康路209号,暂无信息 ,000000
189,淮海中路1881弄,(徐汇徐家汇)淮海中路1881弄,暂无信息 ,000000
190,五原路100号,(徐汇衡山路)五原路100号,暂无信息 ,000000
191,宜山路480弄,(徐汇徐家汇)宜山路480弄,2015年 ,000000
192,襄阳南路274号,(徐汇建国西路)襄阳南路274号,暂无信息 ,000000
193,湖南路9号,(徐汇衡山路)湖南路9号,暂无信息 ,000000
194,襄阳南路364号,(徐汇建国西路)襄阳南路364号,暂无信息 ,000000
195,乌鲁木齐路301弄,(徐汇衡山路)乌鲁木齐路301弄,暂无信息 ,000000
196,乌鲁木齐路394号,(徐汇衡山路)乌鲁木齐路394号,暂无信息 ,000000
197,永嘉路677号,(徐汇衡山路)永嘉路677号,暂无信息 ,000000
