Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
133,东苑佳和园,(闵行老闵行)永平南路198弄,2010-2014年 ,47347,121.434962,31.012271,26449,2071
134,新浦江城(江桦路199弄),(闵行浦江)江桦路199弄（一期）,2000-2006年 ,117421,121.496794,31.102962,32626,1993
135,新浦江城(江柳路400弄),(闵行浦江)江柳路400弄（一期）,2006-2007年 ,0,121.495024,31.10158,32855,2010
136,新浦江城(江桦路600弄),(闵行浦江)江桦路600弄（一期）,2005-2006年 ,75076,121.491721,31.104185,29880,1965
137,新浦江城(浦锦路1658弄),(闵行浦江)浦锦路1658弄（二期）,2010年 ,79557,121.493668,31.099537,33082,2007
138,当代万国府MOMA,(闵行老闵行)沧源路588弄,2015-2017年 ,69033,121.429483,31.009925,26284,2139
139,紫罗兰花苑,(闵行老闵行)兰坪路136弄,2001年 ,31068,121.420175,31.001195,25804,2009
140,保利佳苑,(闵行老闵行)富国路39弄,2014年 ,33156,121.379073,31.019764,23439,1764
141,浦江意优,(闵行浦江)恒南路1111弄,2016年 ,0,121.514246,31.079739,36123,2276
142,永康城兴利苑,(闵行浦江)永高路255弄,2006-2014年 ,27378,121.497587,31.03149,37043,2260
143,永康城香樟苑,(闵行浦江)盐铁塘路435弄,2008-2015年 ,29313,121.506107,31.03456,36765,2233
144,红宾花苑,(闵行老闵行)宾川路233弄,2000年 ,29777,121.413934,31.004316,24850,1900
145,滨浦新苑七村,(闵行浦江)浦雪南路369弄,2014年 ,36012,121.494833,31.066535,36764,2255
146,浦江颐城晶寓,(闵行浦江)浦泉路399弄（一期）,2009-2014年 ,69239,121.498897,31.100697,33258,2104
147,新浦江城(浦驰路1809弄),(闵行浦江)浦驰路1809弄（二期）,2010年 ,62895,121.491648,31.101786,32905,1996
148,新浦江城(江柳路200弄)(别墅),(闵行浦江)江柳路200弄（一期）,2008年 ,0,121.498732,31.102353,32470,1955
149,绿地璀璨天城,(闵行老闵行)富国路355弄,2014-2016年 ,46315,121.377918,31.023778,22900,1584
150,浦江世博家园十四街坊,(闵行浦江)联航路2015弄,2006年 ,46494,121.505245,31.072542,36068,2277
151,景舒苑八村,(闵行浦江)浦鸥路186弄,2006年 ,39277,121.490745,31.071405,37677,2349
152,滨浦新苑一村,(闵行浦江)浦驰南路238弄,2007-2009年 ,43613,121.505667,31.068941,36805,2251
153,滨浦新苑四村,(闵行浦江)浦驰南路39弄,2007年 ,39445,121.503352,31.065452,36257,2222
154,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934,121.40617,31.011281,24645,1880
155,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427,121.489743,31.092166,30881,2077
156,丽都城假日景苑,(闵行老闵行)金平路328弄,2009年 ,51843,121.410186,31.011282,23916,1784
157,旭辉浦江国际广场,(闵行浦江)联航路1650号,2011-2014年 ,0,121.513842,31.077334,35779,2252
158,景舒苑二村,(闵行浦江)浦秀路360弄,2007年 ,39658,121.495975,31.075943,36154,2385
159,祥云新城,(闵行老闵行)江川路1777弄,2005-2012年 ,28095,121.370981,30.992676,27666,2118
160,金榜人家,(闵行老闵行)石屏路399弄,2004-2006年 ,47649,121.418436,31.017007,24592,1753
161,剑桥丽苑,(闵行老闵行)凤庆路150弄,2005-2006年 ,45329,121.41476,31.021446,23823,1732
162,安宁欧洲花园,(闵行老闵行)安宁路379弄,2000-2002年 ,49428,121.417256,31.015748,24675,1912
163,滨浦新苑五村,(闵行浦江)浦雪南路366弄,2014年 ,40622,121.498287,31.067206,36745,2259
164,永康城丽华园,(闵行浦江)盐铁塘路272弄,2014年 ,28685,121.5087,31.035827,36572,2153
165,滨浦新苑八村,(闵行浦江)浦瑞南路76弄,2014-2015年 ,33781,121.495178,31.063329,36777,2244
166,浦江科技广场,(闵行浦江)陈行路2388号,2014年 ,0,121.507393,31.097195,32876,1985
167,永康城玉兰苑,(闵行浦江)闸航路4398弄,2015年 ,25974,121.4992,31.021104,38492,2429
168,新骏环路588弄,(闵行浦江)新骏环路588弄,2000年 ,0,121.524444,31.092161,35495,2236
169,浦江世博家园十二街坊,(闵行浦江)浦驰路235弄,2007年 ,50525,121.50231,31.075213,35723,2294
170,旭辉浦江国际广场(酒店式公寓),(闵行浦江)恒南路899号,2013年 ,0,121.514824,31.078009,35987,2233
171,景舒苑东十村,(闵行浦江)浦雪路53弄,2007年 ,41610,121.49515,31.070062,36999,2290
172,新浦江城(浦申路1288弄),(闵行浦江)浦申路1288弄（五期）（七期）,2012-2014年 ,74024,121.536351,31.20964,37249,2197
173,浦江世博家园八街坊,(闵行浦江)南江燕路229弄,2005-2008年 ,47259,121.502801,31.077502,35544,2261
174,华侨城幸福港湾,(闵行浦江)浦驰路1528号,2012年 ,0,121.495015,31.097623,33294,2022
175,浦江世博家园四街坊,(闵行浦江)北江燕路68弄,2005-2008年 ,50608,121.504323,31.080611,34885,2149
176,浦江世博家园九街坊,(闵行浦江)浦驰路345弄,2005-2006年 ,47937,121.500941,31.076736,35740,2304
177,景舒苑七村,(闵行浦江)浦雪路351弄,2006年 ,41358,121.491833,31.075153,36557,2445
178,浦江华侨城6期,(闵行浦江)浦晓路112弄,2013-2018年 ,72906,121.503465,31.096371,32934,2039
179,新浦江城（四期）,(闵行浦江)浦驰路1335弄（四期）,2009-2015年 ,59845,121.494716,31.093503,33998,2147
180,浦江世博家园二街坊,(闵行浦江)浦申路633弄,2005-2006年 ,51956,121.501591,31.082582,35386,2302
181,新浦江城(浦驰路1336弄),(闵行浦江)浦驰路1336弄（八期）,2009-2019年 ,84480,121.49754,31.094096,33928,2149
182,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614,121.386817,31.025653,22096,1504
183,南洋瑞都剑桥府邸(别墅),(闵行老闵行)金平路777弄1-167号,2006年 ,63491,121.410186,31.011282,23916,1784
184,永康城颂和苑,(闵行浦江)永颂路455弄,2014年 ,26300,121.499798,31.033799,36859,2268
185,一品漫城二期（别墅）,(闵行浦江)浦星公路568弄168-262号,2008-2011年 ,74063,121.493919,31.118556,31175,1929
186,浦江世博家园七街坊,(闵行浦江)南江燕路69弄,2005-2006年 ,45436,121.5057,31.077933,35282,2225
187,华侨城loft,(闵行浦江)浦锦路1266弄,2012年 ,0,121.493387,31.092455,30664,2130
188,浦江坤庭—翠御,(闵行浦江)浦秀路1385弄,2013年 ,62956,121.489422,31.092225,30887,2088
189,鹤庆苑,(闵行老闵行)安宁路330弄,2000年 ,42329,121.416015,31.014402,24589,1876
190,凤凰景苑,(闵行老闵行)景谷中路58弄,2015-2018年 ,66169,121.417754,31.020896,24141,1812
191,万科VMO花园广场,(闵行浦江)浦锦路2049弄,2011年 ,0,121.484434,31.109663,28863,1905
192,友好佳苑,(闵行老闵行)江川路680弄,2011年 ,32556,121.418021,31.009156,24995,1885
193,浦锦路1306号,(闵行浦江)浦锦路1306号,2012年 ,0,121.492953,31.093562,30536,2107
194,浦江世博家园十五街坊,(闵行浦江)联航路2165弄,2005-2006年 ,43239,121.502032,31.071736,36679,2248
195,金铭福邸四期,(闵行老闵行)瑞丽路386弄,2006年 ,38184,121.407187,31.009243,23774,1749
196,红星国际广场,(闵行浦江)联航路1818弄,2014年 ,0,121.51175,31.077886,35337,2201
197,金铭福邸四期,(闵行老闵行)瑞丽路386弄,2006年 ,38184,121.407187,31.009243,23774,1749
198,天星苑,(闵行老闵行)东川路3533弄,2005-2006年 ,33160,121.419901,31.018197,25212,1851
199,富仕名邸,(闵行老闵行)碧江路338弄,2001-2004年 ,35794,121.401111,31.008067,24390,1860
200,金铭福邸,(闵行老闵行)鹤庆路560弄,2003-2013年 ,44767,121.411,31.010233,24429,1938
201,好第坊(东川路865弄),(闵行老闵行)东川路865弄,2001-2006年 ,56019,121.419901,31.018197,25212,1851
202,浦江红星国际广场（商业类）,(闵行浦江)浦星公路1969号,2014年 ,0,121.511119,31.076663,35442,2228
203,景江苑E区,(闵行浦江)浦瑞路509弄,2004-2007年 ,39261,121.489634,31.077468,36234,2414
204,飞碟苑,(闵行老闵行)银春路1800弄,2000-2012年 ,37407,121.393465,31.029326,22221,1520
205,浦江世博家园五街坊,(闵行浦江)北江燕路228弄,2005-2006年 ,49851,121.502705,31.079579,35443,2239
206,江川公寓,(闵行老闵行)江川路660弄,2003年 ,28349,121.418021,31.009156,24995,1885
207,畅馨园,(闵行老闵行)凤庆路58弄,2007-2014年 ,51432,121.417179,31.022574,24042,1662
208,夏朵园,(闵行老闵行)银春路1799弄,2005-2008年 ,37288,121.397843,31.025056,22335,1583
209,合生城邦一街坊,(闵行老闵行)金平路555弄,2004-2007年 ,69672,121.410186,31.011282,23916,1785
210,一品漫城(一期)(公寓),(闵行浦江)浦星公路568弄1-43号、147-161号,2005-2009年 ,69132,121.493919,31.118556,31175,1936
211,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080,121.510304,31.031153,37166,2238
212,永康城浦芳苑,(闵行浦江)盐铁塘路176弄,2014年 ,29367,121.511349,31.036169,37194,2326
213,三弦海上金街,(闵行浦江)三鲁公路3003弄,2018年 ,0,121.522526,31.075216,37765,2384
214,永康城馨宁佳苑,(闵行浦江)永跃路555弄,2013年 ,29014,121.509715,31.031028,37226,2258
215,永康城星华园,(闵行浦江)盐铁塘路565弄,2014年 ,25693,121.501423,31.034366,36477,2173
216,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080,121.510304,31.031153,37166,2244
217,新骏环路158号,(闵行浦江)新骏环路158号,2012年 ,0,121.520837,31.088536,35465,2203
218,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,0,121.50813,31.103617,32634,1986
219,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,0,121.50813,31.103617,32634,1986
220,新都名园,(闵行七宝)中春路8889弄56支弄,2010年 ,63757,121.334639,31.15605,6780,943
221,万顺水原墅(别墅),(闵行颛桥)都市路777弄,2002-2012年 ,49380,121.416033,31.042576,22839,1586
222,锦绣江南五期(公寓),(闵行金汇)虹秀路78弄,2011年 ,95345,121.368019,31.166462,10294,1414
223,皇都花园(别墅),(闵行七宝)顾戴路2000弄1-30、35-42、47-54、59-66、111、115、125、127号,2003-2005年 ,88206,121.368979,31.136292,11935,1092
224,金汇福邸,(闵行金汇)虹井路618弄99-133号,2003年 ,67190,121.369996,31.183836,8706,1201
225,三宏公寓,(闵行闵浦)闸航路2550弄15支弄,2004年 ,22654,121.535612,31.020376,40920,2734
226,汇秀景苑一街坊,(闵行闵浦)浦航路178弄,2013年 ,30656,121.542186,31.044173,39836,2570
227,西郊虹韵城景雅苑,(闵行华漕)开兴路199弄,2010-2013年 ,38566,121.292865,31.222044,5566,764
228,叶家桥路381弄,(闵行闵浦)叶家桥路381弄,2004年 ,0,121.527762,31.062935,38019,2379
229,龙湖虹桥天街,(闵行华漕)申滨南路938号,2015年 ,0,121.313622,31.189505,1212,243
230,聚缘中庭,(闵行闵浦)闵驰一路50弄,2013-2018年 ,31851,121.545515,31.04152,40542,2648
231,雍华府(公寓),(闵行颛桥)沪光路555弄,2009-2011年 ,60424,121.406813,31.074728,19677,1665
232,锦绣江南(二期),(闵行金汇)金汇南路91弄,2003-2004年 ,81888,121.376602,31.170912,9935,1331
233,碧林湾(别墅),(闵行七宝)中谊路888弄,2004年 ,83530,121.35394,31.140553,9261,931
234,南郊别墅(公寓),(闵行颛桥)中春路3455弄,2005-2007年 ,56029,121.375363,31.087575,15390,1041
235,碧林湾南苑(华友路260弄),(闵行七宝)华友路260弄,2004年 ,78089,121.356285,31.136564,9633,987
236,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521,121.412026,31.106332,23117,1715
237,绿野香洲(公寓),(闵行七宝)中谊路666弄,2004年 ,66990,121.35659,31.141451,10127,1062
238,万科凭栏苑,(闵行七宝)中春路8888弄211-226号,2003年 ,81078,121.33699,31.157265,6278,844
239,敬南苑,(闵行马桥)敬南路251弄,2015年 ,32620,121.367664,31.031993,23042,1589
240,东苑世纪茗苑,(闵行莘庄北广场)莘东路298弄,2002年 ,81202,121.377227,31.109283,14151,1197
241,虹桥协信中心,(闵行华漕)兴虹路168弄,2016年 ,0,121.315271,31.203993,1524,404
242,爱博七村,(闵行华漕)博恒路289弄,2013年 ,40717,121.305086,31.22275,4740,764
243,枫荷兰庭,(闵行七宝)宝联路88弄,2009年 ,68165,121.353642,31.146324,9384,969
244,银石科技大厦,(闵行七宝)顾戴路2568号,2011-2015年 ,0,121.359881,31.131236,10833,939
245,碧林湾南苑(华友路150弄),(闵行七宝)碧林湾南苑,2004年 ,62876,121.356312,31.136902,9613,977
246,莲浦府邸（东区）,(闵行七宝)宝铭路88弄,2005-2008年 ,85795,121.366189,31.139655,11075,1133
247,万兆家园金座,(闵行七宝)七莘路2841弄,2002-2003年 ,0,121.351797,31.151703,8982,927
248,东方花园三期,(闵行七宝)荣谊路108弄,2008年 ,75979,121.364366,31.143751,10160,1007
