小区名称,房源数量,平均单价,经度,纬度
康沁苑,2,90217,121.424058,31.162282
延庆路11弄,1,117791,121.452396,31.216446
建国西路211弄,2,127344,121.461749,31.205858
建国西路358弄,3,129819,121.456274,31.204788
建国西路613弄,1,108290,121.44846,31.201101
强生花苑,6,102603.5,121.444197,31.176158
徐家汇景园,1,103539,121.427982,31.189023
徐家汇花园,13,115313.46153846153,121.447207,31.193531
徐汇一品苑,3,147961.33333333334,121.440473,31.213324
徐汇世家花园,5,95836.4,121.431842,31.199136
徐汇公园道壹号一期尊庭,6,146642.66666666666,121.431842,31.199136
徐汇公园道壹号二期臻庭,9,156532.11111111112,121.435126,31.159736
徐汇华园,1,79429,121.452788,31.129171
徐汇嘉馨公寓,1,107587,121.459682,31.200631
徐汇御景苑,2,99598,121.447899,31.166504
徐汇御苑,5,109323.6,121.454748,31.192556
徐汇新城(公寓),5,89655.8,121.45183,31.132446
徐汇汽车公寓,4,96067,121.45987,31.195599
徐汇苑,17,107046.17647058824,121.445207,31.178906
徐汇锦梅苑,11,67811.45454545454,121.42401,31.132862
徐汇长春苑,3,79612,121.42147,31.181051
徐虹公寓,5,83882.8,121.42584,31.186707
徐虹北路28弄,3,104872.66666666667,121.428443,31.19036
徐虹路112弄,2,108674,121.431391,31.189893
德昌路20弄,2,147059,121.441295,31.201232
怡桂苑,4,72834,121.416183,31.176131
恒地苑,5,99339,121.445817,31.166314
恒昌花园,5,88320.4,121.447528,31.193195
悦兴苑,4,83347.5,121.454239,31.15689
愉园,1,116489,121.448679,31.212458
懿园,2,159084.5,121.450313,31.203889
振兴小区(徐汇),8,93832.5,121.431842,31.199136
挹翠苑,12,84259.83333333333,121.445163,31.154481
文南公寓,4,90639.5,121.443633,31.189916
文定天下苑,3,134918.66666666666,121.431206,31.184395
文定路85号,1,105766,121.433513,31.187902
文定路89号,3,114812.33333333333,121.433514,31.187904
斜土路1358弄,2,93488,121.46262,31.197792
斜土路1620号,3,86608.66666666667,121.458003,31.196249
斜土路2200弄,7,85400.42857142857,121.449843,31.191214
新汇公寓,3,93945,121.446141,31.195053
新汾阳公寓,4,127250.5,121.454424,31.210769
新湖云庭,10,93671.9,121.460879,31.191366
新贵都万体景苑,5,123709.6,121.442248,31.186828
日晖二村,2,99853,121.465461,31.193658
日晖五村,1,121790,121.466738,31.198016
日晖六村,5,94807,121.460511,31.195333
日晖新城,4,102272,121.436307,31.188334
时运大楼,1,77667,121.464152,31.200394
明丰新纪苑,4,81556.75,121.452874,31.12694
明佳苑,2,87692,121.442184,31.176541
明华苑,5,111030.8,121.432243,31.189056
明园世纪城,5,102792.8,121.458887,31.212035
明园小安桥,2,106717,121.422714,31.184892
明安馨苑,2,106438.5,121.44193,31.176451
春华苑,9,60234,121.416069,31.139614
景泰大厦,2,82588,121.464825,31.199864
月季园(徐汇),3,59889,121.410929,31.149031
望族城,3,61760.666666666664,121.435645,31.169896
杜鹃园,8,58163.375,121.412937,31.155429
松风花园,8,61446.375,121.433243,31.132926
林肯公寓,3,130581,121.445067,31.208786
枫林大楼,9,87767.66666666667,121.45305,31.200009
枫林新村,1,98620,121.459591,31.191465
枫林路14弄,2,82316,121.453316,31.200027
柳州路200号—柳州路210号,1,60737,121.425509,31.162468
柳州路374弄,3,78663.66666666667,121.424231,31.169693
柿子湾小区,6,102283.33333333333,121.429589,31.189676
柿子湾路8弄,1,103589,121.428803,31.187692
桂平小区,11,65532.63636363636,121.408509,31.159137
桂平路277弄,4,66447.75,121.406932,31.158517
桂康小区,4,77995.25,121.419243,31.165683
桂林苑,15,71254.53333333334,121.413075,31.180682
桂莘小区,7,65357.71428571428,121.407602,31.16003
梅花园,1,57046,121.41342,31.150038
梅苑,5,52332.2,121.436307,31.188334
梅陇七村,8,54567,121.422833,31.139244
梅陇三村,15,54216.333333333336,121.412822,31.14129
梅陇九村,21,54550.95238095238,121.422109,31.129608
梅陇五村,27,51361.81481481482,121.42261,31.133744
梅陇六村,14,52934.5,121.412822,31.14129
梅陇十一村,28,53871.857142857145,121.426918,31.13342
梅陇十村,7,52074.57142857143,121.423617,31.130903
梅陇四村,37,51887.72972972973,121.421073,31.137521
梓树园,6,75521.83333333333,121.430387,31.162632
梦蝶苑,6,79866.33333333333,121.436964,31.164566
梧桐花园,16,121249.3125,121.460223,31.205396
