Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
105,汇智大厦,(徐汇徐家汇)漕溪北路396-398号,2000-2007年 ,0,121.436735,31.187836,3435,599
106,徐汇御苑,(徐汇徐家汇)东安路251弄,2007年 ,110939,121.454226,31.19256,2310,635
107,盛大花园,(徐汇龙华)龙华路2518弄,2000-2004年 ,111592,121.454983,31.178077,1114,248
108,西雅图嘉萱苑,(徐汇龙华)三江路88弄,2004年 ,111625,121.440783,31.164992,3650,760
109,华鼎广场,(徐汇田林)中山西路2366弄1-3号,2001-2003年 ,81529,121.432084,31.180109,3056,571
110,华馨公寓,(徐汇长桥)罗秀路55弄,2006年 ,94237,121.451168,31.134277,6462,1005
111,丝庐花语,(徐汇斜土路)零陵路29弄7-23号,2006-2008年 ,118794,121.466663,31.194975,2386,459
112,银星名庭,(徐汇万体馆)龙漕路51弄2号,2005年 ,79254,121.43649,31.16893,4232,701
113,科拉胜建材商厦,(徐汇徐家汇)宜山路436号,2000年 ,0,121.427144,31.184815,3872,657
114,徐汇苑,(徐汇龙华)天钥桥路968弄,2000-2009年 ,110703,121.44468,31.17861,1889,421
115,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119,121.422462,31.194512,6729,1000
116,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974,121.440986,31.190998,3092,652
117,永嘉路345弄,(徐汇建国西路)永嘉路345弄,暂无信息 ,0,121.457388,31.208351,3873,785
118,永嘉路50号,(徐汇建国西路)永嘉路50号,暂无信息 ,0,121.461259,31.210198,4839,802
119,恒地苑,(徐汇龙华)龙恒路280弄,2002年 ,94497,121.448695,31.166387,2383,467
120,华南公寓,(徐汇万体馆)田东路70弄,2005年 ,0,121.440792,31.172094,2913,665
121,罗秀家园,(徐汇华东理工)罗秀路880弄,2002年 ,81204,121.432027,31.131795,8920,1267
122,滨江108(公寓),(徐汇华泾)望月路900弄,2012年 ,0,121.462277,31.118285,9743,1224
123,云锦东方锦园,(徐汇龙华)龙兰路399弄,2016-2019年 ,230437,121.454505,31.164095,3322,692
124,金巢铂瑞阁,(徐汇斜土路)合宝路18号,2015年 ,0,121.464986,31.200431,3021,579
125,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227,121.445401,31.18903,2408,518
126,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059,121.427472,31.192834,4762,993
127,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433,121.44612,31.192352,3504,689
128,宜德苑,(徐汇徐家汇)古宜路99弄,2005年 ,102636,121.426147,31.185262,4045,692
129,环线广场,(徐汇田林)宜山路515号,2001-2003年 ,0,121.425749,31.180394,3958,701
130,凯托大厦,(徐汇田林)中山西路1878弄1-2号,2005年 ,86822,121.42498,31.183122,3901,682
131,徐汇御景苑,(徐汇龙华)龙吴路288弄,2004年 ,101125,121.445961,31.166119,2836,530
132,澳龙公寓,(徐汇万体馆)龙漕路51弄3号,2003年 ,83019,121.436465,31.169193,4228,701
133,南林公寓,(徐汇田林)中山西路小闸镇街123号,2005年 ,90184,121.426681,31.17976,4278,701
134,中星虹漕公寓,(徐汇康健)桂林西街85弄35-36号,2000年 ,77425,121.416031,31.151344,6655,1153
135,河滨国际公寓,(徐汇康健)钦州路209-211号,2007年 ,92827,121.430968,31.164099,4858,844
136,明安馨苑,(徐汇万体馆)龙华西路525弄,2005年 ,108196,121.442111,31.175849,2690,655
137,嘉嘉大楼,(徐汇建国西路)永嘉路158号,2004年 ,167464,121.459187,31.209556,4036,841
138,徐汇长春苑,(徐汇田林)钦州北路158弄,2008年 ,83940,121.42147,31.181051,4529,762
139,汇鑫国际大厦,(徐汇徐家汇)宜山路333号,2007-2010年 ,0,121.430416,31.187458,3957,699
140,漕河景苑,(徐汇康健)康健路58弄,2007年 ,114229,121.429808,31.16521,4858,821
141,明申中心大厦,(徐汇徐家汇)凯旋路3131号,2000年 ,0,121.432708,31.181681,3097,594
142,之俊大厦,(徐汇斜土路)斜土路1221号,2005-2008年 ,0,121.46495,31.199256,3560,583
143,兆丰环球大厦,(徐汇田林)中山西路1800号,2015年 ,0,121.424311,31.183359,4004,704
144,均瑶国际广场,(徐汇徐家汇)肇嘉浜路789号,2002-2003年 ,0,121.448603,31.198065,2580,568
145,明园世纪城,(徐汇建国西路)复兴中路1199号,2000-2003年 ,108011,121.458812,31.212414,4430,877
146,金色港湾,(徐汇斜土路)大木桥路158弄,2000-2002年 ,113228,121.460938,31.198864,2739,551
147,紫藤苑,(徐汇康健)桂平路88弄,2001年 ,92189,121.412564,31.149226,7823,1330
148,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624,121.451603,31.148435,4590,720
149,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356,121.436386,31.186911,3391,619
150,飞雕国际大厦,(徐汇徐家汇)肇嘉浜路1065号,2006年 ,0,121.441315,31.19443,3277,666
151,阳光名苑,(徐汇徐家汇)斜土路2099弄（一期）,2004-2008年 ,134139,121.450958,31.194583,2178,507
152,岳阳公寓,(徐汇建国西路)岳阳路217号,2003年 ,0,121.452991,31.204305,3534,776
153,凯旋豪庭,(徐汇徐家汇)凯旋路3188弄,2005年 ,95033,121.431549,31.183655,3345,660
154,绿邑翠苑,(徐汇植物园)龙吴路555弄,2005年 ,87172,121.448841,31.15695,4021,734
155,日晖新城,(徐汇斜土路)零陵北路9弄1-5号,2003年 ,100151,121.465395,31.196276,2687,506
156,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734,121.465318,31.203629,3649,581
157,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772,121.428726,31.194134,4676,955
158,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837,121.441893,31.170501,2890,695
159,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119,121.422462,31.194512,6729,1000
160,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974,121.440986,31.190998,3092,652
161,衡园,(徐汇斜土路)肇嘉浜路201弄,2001-2003年 ,122555,121.463849,31.20195,3956,654
162,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227,121.445401,31.18903,2408,518
163,东方时空公寓,(徐汇徐家汇)番禺路1099弄,2003年 ,127059,121.427472,31.192834,4762,993
164,美晶佳园,(徐汇万体馆)天钥桥路869号,2003年 ,100836,121.444314,31.182594,2129,487
165,漕东三路25号,(徐汇万体馆)漕东三路25号,暂无信息 ,0,121.436915,31.170897,3868,631
