Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度
65,云锦东方一期,(徐汇龙华)龙兰路388弄,2014年 ,200446,121.453565,31.165847
66,龙漕家园,(徐汇龙华)龙漕路38弄,2003年 ,98096,121.436634,31.168426
67,嘉善路69弄,(徐汇建国西路)嘉善路69弄,2000年 ,0,121.459472,31.211844
68,康健星辰,(徐汇康健)浦北路388弄,2000-2001年 ,100961,121.418646,31.153723
69,科华公寓,(徐汇田林)钦州路500弄,2002-2004年 ,95125,121.430056,31.168790
70,光启城,(徐汇徐家汇)宜山路425号,2011年 ,0,121.428622,31.183807
71,高安路3号,(徐汇衡山路)高安路3号,暂无信息 ,0,121.444153,31.206257
72,紫江国际大厦,(徐汇衡山路)吴兴路281号,暂无信息 ,0,121.445917,31.198982
73,航天公寓二期,(徐汇漕河泾)钦州北路939弄,2010年 ,115826,121.410846,31.179658
74,复兴中路1311号,(徐汇建国西路)复兴中路1311号,暂无信息 ,0,121.455274,31.211927
75,泰成商务楼,(徐汇康健)沪闵路9510号,2015年 ,0,121.433937,31.166167
76,徐汇华园,(徐汇华泾)华发路58弄,2005年 ,77242,121.452788,31.129171
77,光启园,(徐汇漕河泾)虹漕路456号,2003-2009年 ,0,121.409520,31.178445
78,永康路124号,(徐汇建国西路)永康路124号,2000年 ,0,121.456920,31.210601
79,印象欧洲(公寓),(徐汇华泾)望月路909弄,2011-2013年 ,96463,121.458675,31.117500
80,余庆路152号,(徐汇徐家汇)余庆路152号,2010年 ,0,121.439948,31.200035
81,永升大厦,(徐汇徐家汇)中山西路2025号,2005年 ,0,121.427784,31.182661
82,鑫国家园,(徐汇徐家汇)零陵路777弄,2001年 ,107978,121.439827,31.186274
83,乾骏大厦,(徐汇龙华)宾阳路62弄,2003年 ,92495,121.438135,31.164760
84,光大会展中心,(徐汇康健)漕宝路66号（A座B座）,2000-2011年 ,47716,121.429030,31.167602
85,汇宁花园,(徐汇徐家汇)淮海西路183弄,2007年 ,138316,121.431802,31.200637
86,明园小安桥,(徐汇田林)中山西路1698弄,2006-2011年 ,97364,121.423356,31.185155
87,叠加苑,(徐汇徐汇滨江)龙水南路358弄,2000-2001年 ,83102,121.452596,31.152813
88,瑞金尊邸,(徐汇斜土路)瑞金南路628弄,2006年 ,106018,121.469470,31.195788
89,新湖云庭,(徐汇斜土路)小木桥路518弄,2005-2006年 ,88639,121.460842,31.191750
90,汇峰鼎园,(徐汇斜土路)肇嘉浜路9弄,2006-2007年 ,135464,121.466548,31.202165
91,百汇园三期,(徐汇徐汇滨江)云锦路183弄,2019-2020年 ,164669,121.459466,31.174357
92,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734,121.465318,31.203629
93,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772,121.428726,31.194134
94,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837,121.441893,31.170501
95,上海电影广场,(徐汇徐家汇)漕溪北路595号,2014年 ,85053,121.438290,31.186160
96,永新城,(徐汇徐家汇)辛耕路81弄,2006-2007年 ,146007,121.444925,31.193096
97,嘉瑞花苑,(徐汇斜土路)肇嘉浜路243弄,2001年 ,102810,121.462864,31.201521
98,明申商务广场,(徐汇漕河泾)漕宝路400号,2003年 ,0,121.411650,31.163684
99,太原邸,(徐汇建国西路)太原路289弄,2007-2008年 ,187383,121.457036,31.203839
100,兆丰虹桥公寓,(徐汇田林)中山西路1790弄1-8号,2000年 ,87290,121.424270,31.184065
101,芳草苑(徐汇),(徐汇万体馆)龙吴路15弄1-9号,2000年 ,101591,121.444541,31.172671
102,舒城苑,(徐汇华东理工)老沪闵路1055弄,2002年 ,80347,121.434737,31.129863
103,临江豪园,(徐汇龙华)宛平南路921弄,2007年 ,134575,121.453034,31.183337
104,阳光新景,(徐汇华东理工)天等路259弄,2001年 ,81774,121.427223,31.135817
105,汇智大厦,(徐汇徐家汇)漕溪北路396-398号,2000-2007年 ,0,121.436735,31.187836
106,徐汇御苑,(徐汇徐家汇)东安路251弄,2007年 ,110939,121.454226,31.192560
107,盛大花园,(徐汇龙华)龙华路2518弄,2000-2004年 ,111592,121.454983,31.178077
108,西雅图嘉萱苑,(徐汇龙华)三江路88弄,2004年 ,111625,121.440783,31.164992
109,华鼎广场,(徐汇田林)中山西路2366弄1-3号,2001-2003年 ,81529,121.432084,31.180109
110,华馨公寓,(徐汇长桥)罗秀路55弄,2006年 ,94237,121.451168,31.134277
111,丝庐花语,(徐汇斜土路)零陵路29弄7-23号,2006-2008年 ,118794,121.466663,31.194975
112,银星名庭,(徐汇万体馆)龙漕路51弄2号,2005年 ,79254,121.436490,31.168930
113,科拉胜建材商厦,(徐汇徐家汇)宜山路436号,2000年 ,0,121.427144,31.184815
114,徐汇苑,(徐汇龙华)天钥桥路968弄,2000-2009年 ,110703,121.444680,31.178610
115,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119,121.422462,31.194512
116,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974,121.440986,31.190998
117,永嘉路345弄,(徐汇建国西路)永嘉路345弄,暂无信息 ,0,121.457388,31.208351
118,永嘉路50号,(徐汇建国西路)永嘉路50号,暂无信息 ,0,121.461259,31.210198
119,恒地苑,(徐汇龙华)龙恒路280弄,2002年 ,94497,121.448695,31.166387
120,华南公寓,(徐汇万体馆)田东路70弄,2005年 ,0,121.440792,31.172094
121,罗秀家园,(徐汇华东理工)罗秀路880弄,2002年 ,81204,121.432027,31.131795
122,滨江108(公寓),(徐汇华泾)望月路900弄,2012年 ,0,121.462277,31.118285
123,云锦东方锦园,(徐汇龙华)龙兰路399弄,2016-2019年 ,230437,121.454505,31.164095
124,金巢铂瑞阁,(徐汇斜土路)合宝路18号,2015年 ,0,121.464986,31.200431
125,同汇苑,(徐汇徐家汇)斜土路2455弄1-9号,2000年 ,116227,121.445401,31.189030
