,小区名称,具体地址,建成时间,挂牌均价
167,永康城玉兰苑,(闵行浦江)闸航路4398弄,2015年 ,25974
168,新骏环路588弄,(闵行浦江)新骏环路588弄,2000年 ,000000
169,浦江世博家园十二街坊,(闵行浦江)浦驰路235弄,2007年 ,50525
170,旭辉浦江国际广场(酒店式公寓),(闵行浦江)恒南路899号,2013年 ,000000
171,景舒苑东十村,(闵行浦江)浦雪路53弄,2007年 ,41610
172,新浦江城(浦申路1288弄),(闵行浦江)浦申路1288弄（五期）（七期）,2012-2014年 ,74024
173,浦江世博家园八街坊,(闵行浦江)南江燕路229弄,2005-2008年 ,47259
174,华侨城幸福港湾,(闵行浦江)浦驰路1528号,2012年 ,000000
175,浦江世博家园四街坊,(闵行浦江)北江燕路68弄,2005-2008年 ,50608
176,浦江世博家园九街坊,(闵行浦江)浦驰路345弄,2005-2006年 ,47937
177,景舒苑七村,(闵行浦江)浦雪路351弄,2006年 ,41358
178,浦江华侨城6期,(闵行浦江)浦晓路112弄,2013-2018年 ,72906
179,新浦江城（四期）,(闵行浦江)浦驰路1335弄（四期）,2009-2015年 ,59845
180,浦江世博家园二街坊,(闵行浦江)浦申路633弄,2005-2006年 ,51956
181,新浦江城(浦驰路1336弄),(闵行浦江)浦驰路1336弄（八期）,2009-2019年 ,84480
182,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614
183,南洋瑞都剑桥府邸(别墅),(闵行老闵行)金平路777弄1-167号,2006年 ,63491
184,永康城颂和苑,(闵行浦江)永颂路455弄,2014年 ,26300
185,一品漫城二期（别墅）,(闵行浦江)浦星公路568弄168-262号,2008-2011年 ,74063
186,浦江世博家园七街坊,(闵行浦江)南江燕路69弄,2005-2006年 ,45436
187,华侨城loft,(闵行浦江)浦锦路1266弄,2012年 ,000000
188,浦江坤庭—翠御,(闵行浦江)浦秀路1385弄,2013年 ,62956
189,鹤庆苑,(闵行老闵行)安宁路330弄,2000年 ,42329
190,凤凰景苑,(闵行老闵行)景谷中路58弄,2015-2018年 ,66169
191,万科VMO花园广场,(闵行浦江)浦锦路2049弄,2011年 ,000000
192,友好佳苑,(闵行老闵行)江川路680弄,2011年 ,32556
193,浦锦路1306号,(闵行浦江)浦锦路1306号,2012年 ,000000
194,浦江世博家园十五街坊,(闵行浦江)联航路2165弄,2005-2006年 ,43239
195,金铭福邸四期,(闵行老闵行)瑞丽路386弄,2006年 ,38184
196,红星国际广场,(闵行浦江)联航路1818弄,2014年 ,000000
197,金铭福邸四期,(闵行老闵行)瑞丽路386弄,2006年 ,38184
198,天星苑,(闵行老闵行)东川路3533弄,2005-2006年 ,33160
199,富仕名邸,(闵行老闵行)碧江路338弄,2001-2004年 ,35794
200,金铭福邸,(闵行老闵行)鹤庆路560弄,2003-2013年 ,44767
201,好第坊(东川路865弄),(闵行老闵行)东川路865弄,2001-2006年 ,56019
202,浦江红星国际广场（商业类）,(闵行浦江)浦星公路1969号,2014年 ,000000
203,景江苑E区,(闵行浦江)浦瑞路509弄,2004-2007年 ,39261
204,飞碟苑,(闵行老闵行)银春路1800弄,2000-2012年 ,37407
205,浦江世博家园五街坊,(闵行浦江)北江燕路228弄,2005-2006年 ,49851
206,江川公寓,(闵行老闵行)江川路660弄,2003年 ,28349
207,畅馨园,(闵行老闵行)凤庆路58弄,2007-2014年 ,51432
208,夏朵园,(闵行老闵行)银春路1799弄,2005-2008年 ,37288
209,合生城邦一街坊,(闵行老闵行)金平路555弄,2004-2007年 ,69672
210,一品漫城(一期)(公寓),(闵行浦江)浦星公路568弄1-43号、147-161号,2005-2009年 ,69132
211,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080
212,永康城浦芳苑,(闵行浦江)盐铁塘路176弄,2014年 ,29367
213,三弦海上金街,(闵行浦江)三鲁公路3003弄,2018年 ,000000
214,永康城馨宁佳苑,(闵行浦江)永跃路555弄,2013年 ,29014
215,永康城星华园,(闵行浦江)盐铁塘路565弄,2014年 ,25693
216,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080
217,新骏环路158号,(闵行浦江)新骏环路158号,2012年 ,000000
218,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,000000
219,华侨城中意国际中心,(闵行浦江)浦星路800号,2014年 ,000000
220,新都名园,(闵行七宝)中春路8889弄56支弄,2010年 ,63757
221,万顺水原墅(别墅),(闵行颛桥)都市路777弄,2002-2012年 ,49380
222,锦绣江南五期(公寓),(闵行金汇)虹秀路78弄,2011年 ,95345
223,皇都花园(别墅),(闵行七宝)顾戴路2000弄1-30、35-42、47-54、59-66、111、115、125、127号,2003-2005年 ,88206
224,金汇福邸,(闵行金汇)虹井路618弄99-133号,2003年 ,67190
225,三宏公寓,(闵行闵浦)闸航路2550弄15支弄,2004年 ,22654
226,汇秀景苑一街坊,(闵行闵浦)浦航路178弄,2013年 ,30656
227,西郊虹韵城景雅苑,(闵行华漕)开兴路199弄,2010-2013年 ,38566
228,叶家桥路381弄,(闵行闵浦)叶家桥路381弄,2004年 ,000000
229,龙湖虹桥天街,(闵行华漕)申滨南路938号,2015年 ,000000
230,聚缘中庭,(闵行闵浦)闵驰一路50弄,2013-2018年 ,31851
231,雍华府(公寓),(闵行颛桥)沪光路555弄,2009-2011年 ,60424
232,锦绣江南(二期),(闵行金汇)金汇南路91弄,2003-2004年 ,81888
233,碧林湾(别墅),(闵行七宝)中谊路888弄,2004年 ,83530
234,南郊别墅(公寓),(闵行颛桥)中春路3455弄,2005-2007年 ,56029
235,碧林湾南苑(华友路260弄),(闵行七宝)华友路260弄,2004年 ,78089
236,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521
237,绿野香洲(公寓),(闵行七宝)中谊路666弄,2004年 ,66990
238,万科凭栏苑,(闵行七宝)中春路8888弄211-226号,2003年 ,81078
239,敬南苑,(闵行马桥)敬南路251弄,2015年 ,32620
240,东苑世纪茗苑,(闵行莘庄北广场)莘东路298弄,2002年 ,81202
241,虹桥协信中心,(闵行华漕)兴虹路168弄,2016年 ,000000
242,爱博七村,(闵行华漕)博恒路289弄,2013年 ,40717
243,枫荷兰庭,(闵行七宝)宝联路88弄,2009年 ,68165
244,银石科技大厦,(闵行七宝)顾戴路2568号,2011-2015年 ,000000
245,碧林湾南苑(华友路150弄),(闵行七宝)碧林湾南苑,2004年 ,62876
246,莲浦府邸（东区）,(闵行七宝)宝铭路88弄,2005-2008年 ,85795
247,万兆家园金座,(闵行七宝)七莘路2841弄,2002-2003年 ,000000
248,东方花园三期,(闵行七宝)荣谊路108弄,2008年 ,75979
249,东方花园二期,(闵行七宝)新镇路603弄,2003-2006年 ,73686
250,紫薇苑,(闵行金汇)红松路81弄153支弄,2015-2016年 ,110429
251,金臣汇,(闵行华漕)金杰路5弄,2001-2016年 ,90787
252,虹桥天地广场,(闵行华漕)苏虹路29-33号,2013年 ,000000
253,万科时一区(写字楼),(闵行华漕)泰虹路268弄,2007-2015年 ,000000
254,新华红星国际广场,(闵行金汇)虹井路120弄,2015-2017年 ,000000
255,万科时一区（一期）,(闵行华漕)申郑路18弄,2014-2016年 ,78248
256,爱博三村,(闵行华漕)申滨路1058弄,2006-2010年 ,49571
257,爱博四村,(闵行华漕)天山西路4358弄,2010-2011年 ,43858
258,爱博二村,(闵行华漕)申滨路1051弄,2009-2019年 ,44019
259,爱博一村,(闵行华漕)宁虹路1101弄,2008年 ,47282
260,富力虹桥十号,(闵行华漕)申贵路1599弄,2012-2016年 ,81034
261,爱博六村,(闵行华漕)申长北路185弄,2012年 ,39404
262,绿地旭辉e天地,(闵行华漕)保乐路69弄,2015年 ,000000
263,塘泾南苑,(闵行吴泾)曹家塘路220弄,2015年 ,44887
264,西子国际中心,(闵行莘庄北广场)秀文路898号,2011-2014年 ,000000
265,鑫都城紫云华庭,(闵行颛桥)新源路3122弄,2014-2016年 ,59174
266,红梅雅苑,(闵行闵浦)西城一路177弄,2013年 ,28729
267,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521
268,紫堤苑,(闵行华漕)北翟路5088弄,2000-2001年 ,40664
