小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
书香苑,8,66375.375,121.428132,31.138211,7305,1116
书香逸居,2,89705.5,121.433914,31.135497,7547,1204
乾骏园,2,78642.5,121.439771,31.166234,3450,802
乾骏大厦,9,90372.66666666669,121.438135,31.16476,3729,869
云华小区,1,92434.0,121.46198,31.200591,2839,578
云福大厦,3,100825.0,121.462272,31.202678,4096,657
亚都国际名园,6,126056.66666666669,121.437833,31.187918,3391,717
交大公寓,2,85245.0,121.428614,31.193378,4596,918
仪表新村,1,79210.0,121.426481,31.170336,5924,1163
住友公寓,6,79920.66666666667,121.443495,31.175223,3490,598
体育花苑,4,63354.25,121.430643,31.143065,6803,1071
佳信徐汇公寓,5,79176.0,121.438077,31.173033,4324,776
佳安公寓,3,88189.33333333333,121.447111,31.18945,2648,609
保利星苑,6,112184.5,121.436561,31.164771,5788,903
保利西岸,4,192827.0,121.45613,31.180184,503,148
俞一小区,14,77281.71428571429,121.452396,31.170457,2119,431
俞三小区,10,69909.9,121.447695,31.168427,2659,553
俞二小区,1,71277.0,121.449905,31.167605,2210,428
健安坊,8,75463.25,121.424022,31.157133,7734,1143
儿科大楼,2,91180.0,121.457345,31.198248,2537,521
兆丰帝景苑,4,111394.25,121.443944,31.195958,3135,724
兆丰虹桥公寓,4,87745.75,121.423686,31.183363,4573,796
兆嘉园,2,81862.0,121.436307,31.188334,3493,764
光华园,7,85814.85714285714,121.432813,31.14037,7047,1079
光华绿苑,12,68003.0,121.436307,31.188334,3493,764
光大会展中心,3,46966.333333333336,121.428891,31.16711,5174,815
公安大楼(徐汇),9,97603.77777777778,121.431842,31.199136,5524,1212
兴南花园,2,85248.5,121.436307,31.188334,3493,764
兴国花园,2,181959.0,121.436307,31.188334,3493,764
兴国苑,1,142169.0,121.437787,31.208646,4684,997
兴国路271弄,4,110506.5,121.437703,31.204934,4808,1103
兴荣苑,10,61544.2,121.431008,31.130491,9443,1394
冠生园路204-212号小区,2,64529.0,121.428396,31.163695,5014,1033
冠生苑,5,61975.4,121.426404,31.161782,6408,1061
冶金小区(徐汇),3,71220.0,121.418968,31.168538,5257,1082
凌云新村,30,58271.16666666666,121.417106,31.140692,8616,1372
凯旋一村,7,112775.42857142857,121.436307,31.188334,3493,764
凯旋花苑,7,110971.0,121.436307,31.188334,3493,764
凯旋豪庭,2,95414.5,121.431643,31.183494,3866,716
凯旋路2280弄 ,3,90120.33333333331,121.42685,31.188041,4454,791
凯歌公寓,1,98375.0,121.436307,31.188334,3493,764
凯翔小区,12,79521.41666666667,121.439011,31.17024,4516,788
凯迪虹桥晶舍,6,116122.0,121.413644,31.18155,5341,1132
化工一四村,18,56986.61111111111,121.421928,31.140388,7317,1149
化工二三村,3,56711.0,121.418575,31.138385,7831,1221
北海大厦,4,78447.25,121.44407,31.183541,2623,497
医学院路54弄,3,85299.0,121.457431,31.199717,2779,614
千鹤小区,2,69842.0,121.420209,31.178371,4868,1029
华东花苑,17,58406.05882352941,121.43489,31.148816,5729,881
华中大厦,2,84890.0,121.421597,31.189699,5123,839
华元公寓,2,92701.0,121.419119,31.170335,4913,1047
华利公寓,16,61864.75,121.415203,31.179734,5011,1050
华发小区,11,60248.09090909091,121.452339,31.128135,8076,1071
华容小区,1,93871.0,121.450037,31.179763,838,443
华富小区,3,78829.33333333333,121.441241,31.175786,2843,523
华建一街坊,1,68609.0,121.439596,31.120553,10099,1230
华建二街坊,5,62660.0,121.438716,31.121343,9953,1207
华悦家园,9,88272.66666666667,121.409543,31.165659,6876,1278
华欣家园,12,67372.58333333333,121.460936,31.11959,9034,1185
华沁家园,15,74282.53333333334,121.450626,31.136849,6681,1052
