小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
舒乐公寓,3,48582.0,121.434893,31.13117,8523,1214
舒乐小区,11,58430.0,121.434391,31.13047,8654,1248
舒城苑,3,80589.33333333333,121.434413,31.129444,8562,1367
航天新苑,3,73721.66666666667,121.434234,31.171105,4175,869
航道住宅小区,2,88117.0,121.463626,31.195295,2233,461
良友公寓,1,146497.0,121.443746,31.210371,4008,883
芝大厦,3,153095.0,121.448774,31.206699,3185,721
花苑村丁香园,6,56733.833333333336,121.415381,31.145819,9185,1452
花苑村桂花园,2,51329.0,121.416174,31.148068,7976,1145
花苑村梅花园,3,63402.66666666666,121.41519,31.149258,7949,1137
花苑村玉兰园,4,58258.5,121.413372,31.144038,9140,1513
花苑村紫竹园,5,59025.8,121.413916,31.153028,7976,1153
花苑茶花园,2,61248.5,121.414351,31.151138,7992,1142
茂龄别墅(公房),3,116151.66666666669,121.447587,31.201253,2888,663
茶陵小区,2,80517.5,121.468195,31.195896,2612,524
茶陵路159弄,3,91210.66666666669,121.467795,31.196914,2717,529
茶陵路345弄,3,88512.66666666667,121.462838,31.196752,2607,528
茶陵路400弄,2,89172.0,121.463339,31.1962,2466,500
荣承公寓,1,94358.0,121.450125,31.192084,2311,573
莱诗邸,3,131601.0,121.440094,31.190159,4732,1051
莲岸家园,1,81523.0,121.424356,31.128722,9117,1367
薛家宅小区,5,66026.0,121.426787,31.163747,5196,1038
虹桥丽园,1,121053.0,121.428726,31.194134,4768,1020
虹桥乐庭,1,124606.0,121.426173,31.193661,5163,1129
虹桥路400弄,9,95105.11111111112,121.430087,31.192266,4443,967
虹桥路772弄,2,101810.0,121.424751,31.194579,4996,1029
虹梅南路126弄,1,47338.0,121.417012,31.13974,9102,1481
虹梅南路96弄,9,56411.444444444445,121.415876,31.140187,8737,1401
虹梅小区,5,60321.0,121.395849,31.175114,7962,1396
衡安大楼,2,100651.0,121.446125,31.204554,3299,763
衡山路58弄,2,97314.5,121.445803,31.204309,3249,746
衡山路696弄,1,109895.0,121.442039,31.199264,4093,875
裕德大厦,6,87231.0,121.436307,31.188334,3493,770
裕德路66弄,5,108244.4,121.435633,31.184409,3691,675
襄北大楼,2,109842.0,121.455623,31.217117,6161,1051
襄阳公寓,1,160783.0,121.457817,31.203794,4983,884
襄阳南路277弄,3,129250.66666666669,121.458233,31.209871,4347,887
襄阳南路388弄,2,143707.0,121.457354,31.207344,4161,846
襄阳南路452弄,5,139068.0,121.457921,31.206131,3671,788
西木小区,12,90021.66666666667,121.458635,31.19433,2207,506
西雅图嘉萱苑,8,112377.875,121.438256,31.166968,3263,831
解龙小区,3,95729.0,121.454153,31.184023,711,187
誉仁家园,2,100756.0,121.45556,31.156623,3571,639
诸家宅小区,1,76661.0,121.436307,31.188334,3493,770
谨斜小区,15,93630.73333333334,121.448534,31.193321,3015,706
轻工大木桥小区,11,77907.63636363637,121.461593,31.197516,2526,506
轻工大楼,3,72181.0,121.459143,31.196867,2898,551
迎春园,5,49930.2,121.417629,31.147241,7619,1062
远雄徐汇园,10,141286.7,121.464075,31.19805,3676,647
金丽广场,5,65923.4,121.419745,31.177569,4867,1024
金塘小区,3,71496.0,121.426505,31.148375,6278,948
金桂苑(徐汇),5,63409.0,121.431842,31.199136,5524,1180
金浦大楼,2,59702.0,121.436823,31.175367,3796,622
金海大厦,8,67853.25,121.436859,31.16923,4724,723
金牛苑,1,75484.0,121.433844,31.151293,5387,840
金祥苑,3,88049.0,121.41881,31.179589,4750,1001
金色港湾,6,116829.5,121.436307,31.188334,3493,770
金衡公寓,2,94535.0,121.436102,31.173919,3940,657
金诚花园,2,107498.5,121.436307,31.188334,3493,770
金谷园,27,82114.0,121.437093,31.176243,3683,651
金轩公寓,2,87564.5,121.439696,31.188397,3222,702
金龙花苑牡丹园,16,86848.1875,121.455752,31.168269,2049,455
金龙花苑玫瑰园,2,89333.0,121.455752,31.168269,2049,455
金龙花苑茶花园,1,99428.0,121.456914,31.169277,1899,456
鑫国家园,1,112274.0,121.439809,31.186294,4072,882
鑫耀中城,1,157986.0,121.414655,31.167965,5542,1078
鑫隆花园,13,58049.07692307692,121.436307,31.188334,3493,798
钦州公寓,6,63062.16666666666,121.42769,31.175731,4155,880
钦州大厦,3,71941.33333333333,121.431414,31.161489,5077,1021
钦州花苑,15,55068.0,121.42702,31.178374,4017,896
钦州路111弄,3,72408.33333333333,121.432025,31.162218,4956,999
钦江大楼,2,55811.0,121.513591,31.264069,13574,1627
铭源大楼,1,69593.0,121.436278,31.174917,3920,664
银亿徐汇酩悦,5,89715.0,121.459845,31.197952,2770,585
银星名庭,2,79064.0,121.437294,31.169061,4808,741
银海苑,2,96349.5,121.461788,31.196562,2495,531
锦岩小区,5,115184.8,121.456254,31.207299,3779,800
锦汇苑,1,105264.0,121.434315,31.187927,3904,954
锦泰苑(徐汇),2,53920.0,121.431842,31.199136,5524,1180
锦蝶苑,3,94439.33333333331,121.451046,31.192663,2094,532
锦馨公寓,4,80812.5,121.417829,31.190104,5737,940
锦馨苑,16,77014.625,121.4159,31.189969,5247,1095
长丰坊,4,62739.75,121.415655,31.1538,7932,1145
长乐路447号,1,134373.0,121.454007,31.218278,6332,1092
长乐路681号,3,115317.0,121.449447,31.216354,5178,975
长兴坊,4,61108.0,121.415074,31.156838,8187,1220
长峰小区,5,72181.4,121.454348,31.153157,3975,698
长春小区,1,73590.0,121.422222,31.183974,4675,853
长春新苑,2,65452.0,121.436307,31.188334,3493,798
长桥一村,9,78015.33333333333,121.438871,31.136311,8229,1287
长桥三村,15,55805.46666666667,121.438871,31.136311,8229,1287
长桥五村,7,72831.71428571429,121.435559,31.135959,8787,1182
长桥八村,6,51104.333333333336,121.439768,31.131052,8015,1147
长桥六村,6,66822.33333333333,121.438871,31.136311,8229,1287
长桥四村,10,57393.4,121.439373,31.133515,7618,1108
长桥新村,2,65925.0,121.442557,31.137444,7505,1031
长海坊,2,60334.5,121.419002,31.157108,8189,1159
长虹坊,6,66933.66666666667,121.416512,31.157263,8153,1200
长陇苑,14,46764.42857142857,121.429647,31.136135,7737,1167
长青坊,3,73217.33333333333,121.417606,31.154362,7878,1145
长顺坊,14,70727.57142857143,121.416512,31.157263,8153,1200
阳光名苑,2,135842.0,121.449362,31.194476,2209,571
阳光新景,1,78176.0,121.42697,31.135832,7514,1150
阳光绿园,12,87652.08333333333,121.436307,31.188334,3493,798
陇南小区,1,51035.0,121.422549,31.129251,9188,1395
陕西南路550弄,2,167244.5,121.460894,31.207365,4530,882
集雅公寓,1,148346.0,121.445037,31.202253,3550,800
零陵小区,12,87863.5,121.444466,31.186954,2443,545
青松小区,8,91553.5,121.449422,31.196816,2256,559
音苑小区,4,146092.75,121.453286,31.212271,4075,990
颐峰苑,2,155248.0,121.431501,31.188689,3955,891
馨宁公寓,8,68885.625,121.447726,31.128049,8681,1145
馨汇南苑,9,111747.66666666669,121.436307,31.188334,3493,798
高安路50弄,2,122191.0,121.445653,31.201967,3101,693
高安路9弄,2,104797.0,121.445478,31.206315,3610,805
高雅新村,2,62760.0,121.431897,31.13597,7391,1097
鸿艺豪苑,6,141081.0,121.445719,31.209395,3846,861
龙兆苑,4,110684.0,121.446965,31.170983,2757,597
龙华路2373弄,2,94553.0,121.452411,31.181674,1631,488
龙华雅居,1,97852.0,121.452342,31.179156,764,210
龙南七村,6,69014.66666666667,121.452919,31.158807,3742,658
龙南三四村,11,69166.63636363637,121.453723,31.15365,4174,686
龙南五村,4,67018.75,121.45345,31.155031,4341,722
龙南公寓,2,85716.5,121.456597,31.15459,4685,700
龙南六村,3,66375.33333333333,121.436307,31.188334,3493,798
龙吴路11弄,6,70950.5,121.44338,31.17366,4215,724
龙吴路13弄,2,71807.0,121.443938,31.172927,2682,824
龙吴路9弄,3,95682.33333333331,121.432336,31.166312,5015,820
龙安小区,1,94181.0,121.455132,31.184864,784,233
龙山公寓,3,78090.33333333333,121.447871,31.184119,2602,459
龙山小区,2,92241.5,121.44639,31.182912,2453,482
龙山新村,14,82730.35714285714,121.444891,31.184374,2789,569
龙州小区,14,57312.71428571428,121.426547,31.129544,9345,1236
龙汇苑,2,71318.0,121.44252,31.16811,3385,756
龙漕大楼,1,70563.0,121.436012,31.168735,4559,668
龙漕苑,3,77086.33333333333,121.437456,31.168576,3648,773
